Symbol	BB_001	BB_004	BB_005	MP_001	MP_004	MP_005	SS_001	SS_003	SS_004	SS_005	SS_006	SS_007
5S_rRNA.105	0	0	0	0	0	0	3	1	0	0	0	0
5S_rRNA.118	0	0	0	1	2	0	1	4	0	0	0	0
5S_rRNA.129	0	0	0	0	0	0	0	5	0	0	0	0
5S_rRNA.134	2	0	3	0	0	0	0	0	0	0	0	0
5S_rRNA.159	0	0	0	0	0	1	0	0	0	0	0	0
5S_rRNA.163	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA.169	0	0	3	5	0	0	1	2	0	0	1	2
5S_rRNA.184	0	0	0	0	0	0	0	0	0	0	2	0
5S_rRNA.19	0	0	0	0	0	0	0	0	5	0	0	0
5S_rRNA.201	0	0	0	0	0	1	0	0	0	0	0	0
5S_rRNA.202	9	0	0	0	0	0	0	1	0	0	0	0
5S_rRNA.203	0	0	0	0	0	0	2	0	0	0	0	0
5S_rRNA.209	0	0	4	0	0	6	1	0	0	1	1	3
5S_rRNA.235	0	0	0	0	0	2	0	1	0	0	0	0
5S_rRNA.240	0	0	0	0	0	0	0	1	0	0	0	0
5S_rRNA.241	0	0	30	2	0	47	0	3	0	20	18	27
5S_rRNA.242	2	0	0	0	0	0	0	3	0	0	1	1
5S_rRNA.257	0	0	0	0	0	0	0	0	16	2	0	0
5S_rRNA.262	3	0	3	3	0	3	6	10	0	3	1	5
5S_rRNA.27	0	0	1	3	17	0	5	8	0	2	4	2
5S_rRNA.286	0	0	0	0	0	0	0	3	0	0	0	0
5S_rRNA.291	0	0	0	0	0	0	0	0	12	0	0	0
5S_rRNA.296	0	0	0	0	0	0	0	2	0	0	0	0
5S_rRNA.300	2	0	0	10	0	0	6	0	0	0	3	2
5S_rRNA.306	3	0	3	0	0	4	0	0	0	2	0	1
5S_rRNA.309	0	0	0	6	0	7	2	9	0	4	1	0
5S_rRNA.315	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA.316	0	0	0	0	0	0	0	6	0	0	0	0
5S_rRNA.320	0	0	0	3	5	0	0	2	15	8	0	7
5S_rRNA.321	0	0	0	0	0	0	10	0	0	4	5	0
5S_rRNA.328	0	0	0	0	0	0	0	0	0	0	1	0
5S_rRNA.329	0	0	0	3	0	0	0	2	0	0	3	0
5S_rRNA.331	2	0	1	0	0	0	0	1	0	2	4	2
5S_rRNA.346	0	0	0	0	0	0	1	0	0	0	0	0
5S_rRNA.350	0	0	0	0	0	1	0	0	0	0	0	2
5S_rRNA.358	0	0	0	5	0	0	0	0	0	0	0	1
5S_rRNA.368	0	0	0	3	0	0	0	0	0	1	1	4
5S_rRNA.37	11	0	2	2	2	0	6	5	0	0	1	6
5S_rRNA.390	0	0	0	0	0	4	0	0	0	0	0	3
5S_rRNA.40	0	0	0	0	0	0	5	0	0	0	0	1
5S_rRNA.429	0	0	0	3	12	0	0	0	0	0	1	0
5S_rRNA.435	3	0	0	2	0	2	2	0	0	0	2	2
5S_rRNA.436	0	0	5	9	0	4	2	0	0	5	1	0
5S_rRNA.438	1	0	1	0	0	0	0	0	0	0	0	2
5S_rRNA.442	0	0	3	10	0	8	3	7	0	8	1	4
5S_rRNA.444	0	0	0	0	0	0	0	0	0	0	2	0
5S_rRNA.445	2	0	2	0	0	2	0	0	0	0	3	3
5S_rRNA.448	0	0	0	0	0	0	0	0	0	0	1	0
5S_rRNA.455	4	0	1	0	7	6	0	0	0	0	1	1
5S_rRNA.489	0	0	0	0	0	3	0	0	0	0	1	0
5S_rRNA.494	0	0	2	0	0	1	2	0	0	0	1	0
5S_rRNA.97	0	0	0	0	0	0	0	0	0	0	1	0
7SK.102	5	0	6	1	0	13	4	8	0	8	14	6
7SK.104	14	0	7	5	7	15	4	13	13	18	12	12
7SK.107	3	0	1	4	9	0	1	0	0	0	0	2
7SK.11	0	0	1	1	0	3	0	11	0	0	2	13
7SK.113	0	0	0	0	0	0	0	0	10	0	0	0
7SK.115	0	0	0	1	0	0	0	0	0	0	0	0
7SK.119	4	0	12	0	0	0	0	0	0	0	4	1
7SK.124	0	0	0	0	0	0	0	0	0	0	1	0
7SK.127	0	0	0	0	0	0	3	2	0	0	5	1
7SK.128	0	0	1	0	0	0	1	0	18	0	0	0
7SK.136	0	0	0	0	0	0	1	0	0	0	0	0
7SK.15	3	0	1	0	1	1	0	3	0	1	1	2
7SK.153	0	0	0	0	0	1	0	0	0	0	0	0
7SK.156	0	0	1	0	0	0	5	3	0	0	1	0
